95	4
84	15
70	29
85	14
91	8
83	16
89	10
88	11
95	4
92	7
87	12
94	5
81	18
87	12
91	8
80	19
94	5
95	4
79	20
69	30
95	4
85	14
84	15
96	3
92	7
82	17
97	2
97	2
82	17
79	20
95	4
94	5
96	3
96	3
84	15
97	2
76	23
81	18
87	12
96	3
83	16
96	3
96	3
87	12
91	8
78	21
64	35
80	19
89	10
76	23
67	32
77	22
66	33
89	10
96	3
91	8
62	37
89	10
61	38
66	33
83	16
85	14
96	3
90	9
88	11
89	10
94	5
76	23
89	10
95	4
67	32
86	13
95	4
94	5
78	21
75	24
95	4
97	2
94	5
88	11
98	1
95	4
82	17
89	10
87	12
84	15
77	22
82	17
98	1
77	22
96	3
96	3
83	16
96	3
89	10
80	19
90	9
72	27
96	3
94	5
84	15
96	3
96	3
96	3
88	11
82	17
96	3
99	0
87	12
76	23
86	13
79	20
79	20
69	30
98	1
78	21
95	4
83	16
77	22
94	5
86	13
77	22
72	27
96	3
79	20
74	25
75	24
96	3
72	27
78	21
85	14
90	9
85	14
95	4
89	10
79	20
97	2
83	16
87	12
59	40
78	21
96	3
92	7
94	5
87	12
64	35
92	7
95	4
88	11
91	8
72	27
89	10
88	11
80	19
95	4
96	3
81	18
81	18
76	23
96	3
76	23
64	35
82	17
94	5
81	18
97	2
92	7
76	23
82	17
88	11
80	19
98	1
98	1
99	0
96	3
85	14
75	24
69	30
96	3
88	11
84	15
99	0
84	15
96	3
94	5
73	26
84	15
69	30
80	19
82	17
64	35
96	3
84	15
86	13
94	5
90	9
93	6
78	21
96	3
80	19
89	10
63	36
87	12
97	2
92	7
99	0
91	8
90	9
97	2
89	10
79	20
93	6
98	1
91	8
92	7
92	7
96	3
89	10
75	24
95	4
94	5
85	14
96	3
41	58
91	8
96	3
69	30
80	19
77	22
97	2
75	24
91	8
95	4
87	12
77	22
87	12
88	11
85	14
94	5
94	5
94	5
94	5
97	2
87	12
97	2
70	29
87	12
99	0
69	30
71	28
94	5
82	17
94	5
89	10
80	19
88	11
89	10
94	5
91	8
90	9
63	36
83	16
96	3
97	2
96	3
97	2
99	0
88	11
84	15
93	6
95	4
84	15
81	18
96	3
96	3
93	6
81	18
72	27
78	21
68	31
96	3
85	14
95	4
68	31
86	13
71	28
84	15
78	21
82	17
80	19
87	12
96	3
80	19
68	31
92	7
80	19
96	3
79	20
77	22
88	11
79	20
73	26
72	27
82	17
90	9
78	21
84	15
79	20
73	26
91	8
79	20
76	23
97	2
90	9
84	15
87	12
75	24
83	16
96	3
77	22
86	13
77	22
79	20
91	8
83	16
91	8
92	7
83	16
84	15
76	23
89	10
98	1
91	8
96	3
95	4
86	13
83	16
96	3
87	12
69	30
82	17
96	3
98	1
83	16
81	18
94	5
74	25
89	10
95	4
89	10
88	11
96	3
93	6
59	40
90	9
86	13
94	5
80	19
74	25
93	6
86	13
76	23
64	35
83	16
97	2
88	11
93	6
94	5
69	30
94	5
98	1
94	5
86	13
76	23
64	35
89	10
96	3
99	0
92	7
91	8
94	5
99	0
91	8
75	24
85	14
79	20
96	3
94	5
96	3
93	6
91	8
82	17
85	14
87	12
97	2
98	1
95	4
89	10
93	6
69	30
94	5
73	26
71	28
92	7
73	26
88	11
95	4
72	27
96	3
83	16
77	22
83	16
84	15
78	21
81	18
89	10
97	2
89	10
97	2
78	21
91	8
85	14
94	5
83	16
94	5
97	2
96	3
76	23
80	19
70	29
95	4
75	24
93	6
82	17
89	10
89	10
93	6
89	10
99	0
95	4
86	13
99	0
75	24
74	25
96	3
91	8
90	9
86	13
98	1
96	3
96	3
94	5
96	3
95	4
96	3
81	18
87	12
84	15
82	17
74	25
97	2
77	22
94	5
97	2
79	20
68	31
97	2
90	9
97	2
94	5
81	18
93	6
68	31
80	19
93	6
75	24
71	28
81	18
80	19
94	5
71	28
80	19
97	2
96	3
94	5
83	16
82	17
96	3
82	17
83	16
91	8
98	1
74	25
96	3
99	0
98	1
94	5
78	21
82	17
70	29
84	15
75	24
94	5
93	6
62	37
88	11
81	18
77	22
98	1
88	11
76	23
86	13
77	22
98	1
86	13
99	0
87	12
81	18
99	0
98	1
71	28
79	20
72	27
95	4
93	6
94	5
89	10
75	24
95	4
77	22
98	1
84	15
91	8
80	19
81	18
96	3
94	5
99	0
82	17
93	6
87	12
71	28
79	20
96	3
90	9
97	2
71	28
85	14
96	3
83	16
94	5
82	17
88	11
90	9
67	32
77	22
85	14
86	13
95	4
92	7
