1,11.6
1,23.9
1,27.5
1,6.4
1,18.1
1,15.9
1,19.0
1,29.6
1,21.5
1,12.2
1,24.3
1,13.5
1,19.7
1,34.3
1,22.8
1,32.1
1,30.8
1,4.5
1,12.0
1,20.7
1,36.4
1,10.9
1,20.4
1,13.8
1,15.9
1,13.5
1,14.5
1,40.6
1,21.5
1,13.1
1,13.0
1,27.7
1,9.5
1,18.8
1,12.9
1,24.2
1,34.2
1,16.6
1,15.5
1,22.2
1,19.2
1,32.5
1,4.7
1,19.4
1,17.1
1,28.0
1,26.4
1,31.0
1,8.7
1,26.1
1,25.2
1,23.4
1,12.9
1,21.3
1,17.7
1,16.7
1,38.0
1,17.4
1,28.6
1,24.9
1,14.9
1,-3.8
1,5.4
1,38.2
1,21.0
1,20.6
1,27.8
1,17.8
1,11.9
1,16.7
1,21.8
1,20.0
1,17.0
1,6.2
1,28.9
1,14.2
1,12.3
1,28.1
1,25.6
1,33.8
1,28.8
1,24.5
1,23.7
1,37.7
1,32.7
1,26.1
1,32.6
1,12.2
1,22.9
1,16.2
1,29.1
1,-5.4
1,11.4
1,26.3
1,24.0
1,25.7
1,5.0
1,18.0
1,15.9
1,27.0
2,38.3
2,48.3
2,43.0
2,30.2
2,20.2
2,38.3
2,32.2
2,41.5
2,45.5
2,56.6
2,42.0
2,42.0
2,41.8
2,42.3
2,44.9
2,44.7
2,44.1
2,21.9
2,39.6
2,41.3
2,50.7
2,40.9
2,59.1
2,34.0
2,37.0
2,43.1
2,23.1
2,35.2
2,37.9
2,76.9
2,30.1
2,46.1
2,41.9
2,58.4
2,29.2
2,34.6
2,37.4
2,44.5
2,59.9
2,38.1
2,31.8
2,36.4
2,33.3
2,40.0
2,49.6
2,34.5
2,38.0
2,46.9
2,31.9
2,24.2
2,39.1
2,50.4
2,40.1
2,38.6
2,36.2
2,41.0
2,35.8
2,54.3
2,19.8
2,48.3
2,29.0
2,34.7
2,29.0
2,35.6
2,48.9
2,51.0
2,39.2
2,39.5
2,45.6
2,44.4
2,48.9
2,42.2
2,47.2
2,39.1
2,35.6
2,35.1
2,55.5
2,40.1
2,49.1
2,32.5
2,38.7
2,47.0
2,40.3
2,46.6
2,43.7
2,38.0
2,17.2
2,39.9
2,32.3
2,25.9
2,59.2
2,36.8
2,28.4
2,53.4
2,47.9
2,44.7
2,51.8
2,32.7
2,35.6
2,43.1
